Type,Treat,Rep,Time,NSE_Lin_Flux,Lin_FluxCV,Exp_Flux,Exp_FluxCV,Exp_dCdry/dt,Dark_Lin_Flux,Dark_Lin_FluxCV,Dark_Exp_Flux,Dark_Exp_FluxCV,Dark_Exp_dCdry/dt,GPP_light_dark,GPP_positive
cyano,1.8,1,1,1.68676,1.28627,2.04226,1.23844,1.00291,2.12061,1.26425,2.3119,1.25307,0.631538,-0.43385,0.43385
cyano,1.8,2,1,0.773724,1.47297,1.17361,1.24627,0.443415,1.17744,1.31318,1.39867,1.26196,0.326838,-0.403716,0.403716
cyano,1.8,3,1,1.60455,1.28974,1.93062,1.24262,0.940385,2.34247,1.26765,2.75498,1.23707,0.646558,-0.73792,0.73792
moss,1.8,1,1,2.96786,1.27962,3.66158,1.22521,1.77636,2.70552,1.2488,2.84876,1.24468,0.783088,0.26234,-0.26234
moss,1.8,2,1,2.7612,1.3067,3.42036,1.23943,1.32698,1.9862,1.25554,2.20427,1.24102,0.596705,0.775,-0.775
moss,1.8,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cyano,2.7,1,1,1.79594,1.2772,2.14399,1.23721,1.05264,1.85763,1.26545,1.91332,1.2626,0.52562,-0.06169,0.06169
cyano,2.7,2,1,2.47115,1.30171,3.16909,1.22717,1.5456,2.1074,1.26689,2.39319,1.24579,0.653999,0.36375,-0.36375
cyano,2.7,3,1,2.23074,1.26819,2.65355,1.23257,1.31953,2.14969,1.24873,2.22996,1.24569,0.604452,0.08105,-0.08105
moss,2.7,1,1,3.70586,1.28317,4.61469,1.22919,2.29218,4.07556,1.25401,4.67844,1.23367,1.2897,-0.3697,0.3697
moss,2.7,2,1,1.48928,1.2677,1.81592,1.23085,0.887594,2.02488,1.26625,2.34234,1.24126,0.640025,-0.5356,0.5356
moss,2.7,3,1,2.47216,1.24353,2.74745,1.23204,1.35131,2.47589,1.24973,2.49951,1.24917,0.683936,-0.00373,0.00373
cyano,1.8,1,2,1.1677,1.27423,1.25201,1.2642,0.612819,1.80654,1.27255,2.00365,1.25646,0.547279,-0.63884,0.63884
cyano,1.8,2,2,0.927655,1.29358,1.10457,1.24671,0.417466,1.20014,1.27496,1.30477,1.26191,0.304742,-0.272485,0.272485
cyano,1.8,3,2,1.07514,1.31103,1.27166,1.25814,0.624008,1.95283,1.26211,2.09303,1.25428,0.573177,-0.87769,0.87769
cyano,2.7,1,2,1.62492,1.27265,1.8938,1.24495,0.930751,2.51677,1.25378,2.72658,1.24537,0.744079,-0.89185,0.89185
cyano,2.7,2,2,1.77207,1.26805,2.16406,1.23048,1.05453,2.69131,1.26461,2.95252,1.2513,0.800423,-0.91924,0.91924
cyano,2.7,3,2,1.51425,1.2642,1.7643,1.23566,0.874384,2.83804,1.2579,3.24334,1.2375,0.894369,-1.32379,1.32379
cyano,5.4,1,2,1.03952,1.28212,1.20003,1.25195,0.452728,1.21001,1.30158,1.34692,1.27712,0.314185,-0.17049,0.17049
cyano,5.4,2,2,0.836729,1.28849,0.876693,1.28124,0.429491,1.15437,1.3151,1.17874,1.31111,0.322933,-0.317641,0.317641
cyano,5.4,3,2,1.37393,1.24585,1.48625,1.2376,0.728514,2.05926,1.25733,2.05926,1.25733,0.563562,-0.68533,0.68533
cyano,7.7,1,2,0.95244,1.26416,1.00542,1.25849,0.382154,1.20567,1.33074,1.39237,1.28833,0.326214,-0.25323,0.25323
cyano,7.7,2,2,1.28847,1.24965,1.37713,1.24337,0.685099,2.15797,1.26033,2.15797,1.26033,0.598206,-0.8695,0.8695
cyano,7.7,3,2,1.16179,1.28901,1.39562,1.2488,0.541131,1.63719,1.31046,1.91698,1.26745,0.457573,-0.4754,0.4754
cyano,10,1,2,1.87641,1.25564,2.11519,1.23948,1.04105,2.79023,1.25096,3.0989,1.2386,0.844748,-0.91382,0.91382
cyano,10,2,2,0.775214,1.30496,0.775214,1.30497,0.294945,0.936101,1.34973,0.986257,1.33656,0.231049,-0.160887,0.160887
cyano,1.8,3,2,0.943445,1.28492,1.03571,1.26517,0.509011,1.31484,1.31265,1.32245,1.31166,0.362458,-0.371395,0.371395
moss,1.8,1,2,1.71508,1.26521,2.02082,1.23033,0.982178,2.92941,1.25153,3.31729,1.23484,0.896899,-1.21433,1.21433
moss,1.8,2,2,1.44946,1.2629,1.6241,1.24414,0.628494,2.12902,1.28208,2.31399,1.26795,0.551281,-0.67956,0.67956
moss,1.8,3,2,1.98344,1.25403,2.21175,1.24025,1.09874,2.93748,1.25281,3.22251,1.24288,0.891302,-0.95404,0.95404
moss,2.7,1,2,2.24021,1.25101,2.54945,1.23185,1.26271,3.25803,1.23949,3.54296,1.23228,0.975129,-1.01782,1.01782
moss,2.7,2,2,1.33858,1.26406,1.56321,1.23534,0.763281,1.92836,1.26594,2.23811,1.23869,0.611021,-0.58978,0.58978
moss,2.7,3,2,1.76795,1.25251,2.00852,1.23372,0.986322,2.26505,1.24935,2.33009,1.24732,0.637875,-0.4971,0.4971
moss,5.4,1,2,2.53953,1.25311,2.75287,1.24373,1.04584,3.24307,1.24853,3.39163,1.24549,0.79334,-0.70354,0.70354
moss,5.4,2,2,2.24005,1.2472,2.44542,1.23837,1.21562,3.11895,1.24731,3.17237,1.24648,0.877898,-0.8789,0.8789
moss,5.4,3,2,2.782,1.26529,3.15969,1.24159,1.22545,3.67598,1.25303,4.00654,1.24255,0.955,-0.89398,0.89398
moss,7.7,1,2,2.14317,1.24433,2.35214,1.23389,1.15026,3.12469,1.24079,3.39194,1.23299,0.927388,-0.98152,0.98152
moss,7.7,2,2,1.93511,1.26142,2.29364,1.23325,1.12723,2.94088,1.24262,3.17192,1.23593,0.866058,-1.00577,1.00577
moss,7.7,3,2,2.38181,1.24891,2.67688,1.2338,1.31485,3.40098,1.24022,3.47228,1.23933,0.952533,-1.01917,1.01917
moss,10,1,2,1.51366,1.24589,1.57017,1.24336,0.772297,2.35478,1.26035,2.5234,1.25219,0.691369,-0.84112,0.84112
moss,10,2,2,3.43849,1.23513,3.6653,1.23072,1.81203,4.56086,1.24268,5.06109,1.23094,1.39459,-1.12237,1.12237
moss,10,3,2,1.42052,1.25561,1.54217,1.24431,0.582924,1.83893,1.26128,1.95781,1.25343,0.456817,-0.41841,0.41841
cyano,1.8,1,3,1.08592,1.27154,1.25897,1.24208,0.616437,1.71322,1.27483,1.73809,1.27324,0.474595,-0.6273,0.6273
cyano,1.8,2,3,0.915429,1.28582,1.02659,1.26415,0.38807,1.32358,1.28148,1.51486,1.25423,0.354001,-0.408151,0.408151
cyano,1.8,3,3,1.13636,1.29391,1.30402,1.25949,0.640334,1.71027,1.25703,1.71027,1.25703,0.46844,-0.57391,0.57391
cyano,2.7,1,3,1.43288,1.26349,1.67302,1.23746,0.822918,2.38349,1.26362,2.57854,1.25403,0.703214,-0.95061,0.95061
cyano,2.7,2,3,1.46155,1.26912,1.66949,1.24335,0.814905,2.39057,1.25419,2.71571,1.2345,0.735638,-0.92902,0.92902
cyano,2.7,3,3,1.20052,1.26847,1.35778,1.24735,0.671901,2.24204,1.26661,2.49384,1.25023,0.686651,-1.04152,1.04152
cyano,5.4,1,3,0.943828,1.2855,1.05674,1.26217,0.399044,1.36792,1.2893,1.4685,1.27659,0.342415,-0.424092,0.424092
cyano,5.4,2,3,0.932966,1.26935,1.0413,1.24993,0.510442,1.49001,1.2667,1.613,1.25625,0.441314,-0.557044,0.557044
cyano,5.4,3,3,1.29915,1.25452,1.43984,1.2407,0.70571,2.07035,1.26626,2.32823,1.24755,0.63685,-0.7712,0.7712
cyano,7.7,1,3,0.893459,1.28017,0.942907,1.27285,0.358081,1.31626,1.28996,1.42909,1.27585,0.334368,-0.422801,0.422801
cyano,7.7,2,3,1.07265,1.26047,1.10641,1.25785,0.551258,2.06111,1.26208,2.10336,1.26048,0.582949,-0.98846,0.98846
cyano,7.7,3,3,1.10838,1.27264,1.18279,1.26374,0.458763,1.64731,1.27045,1.80713,1.25683,0.430695,-0.53893,0.53893
cyano,10,1,3,1.80885,1.25867,2.01218,1.24387,0.990138,2.64183,1.27255,2.97865,1.25308,0.811791,-0.83298,0.83298
cyano,10,2,3,0.769518,1.29694,0.809662,1.28887,0.307501,1.11328,1.31387,1.2096,1.29634,0.283141,-0.343762,0.343762
cyano,10,3,3,1.17073,1.26601,1.22395,1.26127,0.601886,1.7151,1.27723,1.7151,1.27723,0.470314,-0.54437,0.54437
moss,1.8,1,3,1.50951,1.26424,1.76833,1.23244,0.859989,2.53123,1.26706,2.92767,1.24178,0.791229,-1.02172,1.02172
moss,1.8,2,3,1.25523,1.2728,1.43718,1.24785,0.556096,1.94174,1.27817,2.20976,1.25192,0.526434,-0.68651,0.68651
moss,1.8,3,3,1.61746,1.25058,1.80141,1.23798,0.895438,2.82715,1.25492,3.13127,1.24242,0.866394,-1.20969,1.20969
moss,2.7,1,3,1.7796,1.25774,2.02257,1.23592,1.00046,3.2989,1.25358,3.78226,1.23306,1.04207,-1.5193,1.5193
moss,2.7,2,3,1.23633,1.27219,1.40676,1.24855,0.687398,1.96858,1.28044,2.35388,1.2393,0.642549,-0.73225,0.73225
moss,2.7,3,3,1.58878,1.2519,1.80095,1.2335,0.88436,2.11783,1.25629,2.20582,1.25251,0.603844,-0.52905,0.52905
moss,5.4,1,3,2.2881,1.25883,2.52102,1.24513,0.957072,3.0816,1.25477,3.36315,1.24367,0.786076,-0.7935,0.7935
moss,5.4,2,3,1.94474,1.25704,2.1255,1.24638,1.05718,3.15287,1.2434,3.27718,1.24122,0.907133,-1.20813,1.20813
moss,5.4,3,3,2.61615,1.25625,2.91722,1.23919,1.13079,3.50179,1.25721,3.85801,1.2438,0.918889,-0.88564,0.88564
moss,7.7,1,3,2.19046,1.2435,2.3929,1.23309,1.17101,3.48197,1.24387,3.81673,1.23382,1.04386,-1.29151,1.29151
