rep,treatment,crust_type,wetsum,wetprop,duration
1,1.8,cyano,117,0.055393356,3.25
2,1.8,cyano,212.8333333,0.100765407,5.912037037
1,1.8,moss,52.33333333,0.024777085,1.453703704
2,1.8,moss,249.1666667,0.117967332,6.921296296
3,1.8,moss,47.66666667,0.022567664,1.324074074
1,2.7,cyano,149.1666667,0.070622583,5.737179487
2,2.7,cyano,160.6666667,0.07606723,6.179487179
3,2.7,cyano,210.8333333,0.099818512,8.108974359
1,2.7,moss,134.3333333,0.063599779,5.166666667
2,2.7,moss,116.8333333,0.055314448,4.493589744
3,2.7,moss,124.3333333,0.058865304,4.782051282
1,5.4,cyano,154.3333333,0.073068729,11.87179487
2,5.4,cyano,181.6666667,0.086009627,13.97435897
3,5.4,cyano,290.8333333,0.137694311,22.37179487
1,5.4,moss,158.5,0.075041427,12.19230769
2,5.4,moss,256.6666667,0.121518188,19.74358974
1,7.7,cyano,375.1666667,0.177621715,41.68518519
2,7.7,cyano,167.8333333,0.07946027,18.64814815
3,7.7,cyano,327.1666667,0.154896236,36.35185185
1,7.7,moss,110.5,0.052315947,12.27777778
2,7.7,moss,99.5,0.047108025,11.05555556
3,7.7,moss,85.5,0.04047976,9.5
1,10,cyano,224.5,0.106288961,32.07142857
2,10,cyano,166,0.078592283,23.71428571
3,10,cyano,264.8333333,0.125384676,37.83333333
1,10,moss,120,0.056813698,17.14285714
2,10,moss,118.5,0.056103527,16.92857143
3,10,moss,145.3333333,0.068807701,20.76190476
